,,,,,,,No. of recruits,,
Year,Period,Sector,Reef,ReefID,Site,Panel,Spawn,Brood,Total
2018,Post-2016,2,Lizard,14-116,Lizard_1_1m,8,0,13,13
2018,Post-2016,2,Lizard,14-116,Lizard_1_1m,9,1,1,2
2018,Post-2016,2,Lizard,14-116,Lizard_1_1m,10,1,1,2
2018,Post-2016,2,Lizard,14-116,Lizard_2_1m,1,0,0,0
2018,Post-2016,2,Lizard,14-116,Lizard_2_1m,2,0,15,15
2018,Post-2016,2,Lizard,14-116,Lizard_2_1m,3,1,11,12
2018,Post-2016,2,Lizard,14-116,Lizard_2_1m,4,2,0,2
2018,Post-2016,2,Lizard,14-116,Lizard_2_1m,5,0,16,16
2018,Post-2016,2,Lizard,14-116,Lizard_2_1m,6,0,0,0
2018,Post-2016,2,Lizard,14-116,Lizard_2_1m,7,3,0,3
2018,Post-2016,2,Lizard,14-116,Lizard_2_1m,8,2,0,2
2018,Post-2016,2,Lizard,14-116,Lizard_2_1m,9,2,0,2
2018,Post-2016,2,Lizard,14-116,Lizard_2_1m,10,0,1,1
2018,Post-2016,2,Lizard,14-116,Lizard_3_1m,1,0,14,14
2018,Post-2016,2,Lizard,14-116,Lizard_3_1m,2,4,3,7
2018,Post-2016,2,Lizard,14-116,Lizard_3_1m,3,0,18,18
2018,Post-2016,2,Lizard,14-116,Lizard_3_1m,4,1,2,3
2018,Post-2016,2,Lizard,14-116,Lizard_3_1m,5,2,20,22
2018,Post-2016,2,Lizard,14-116,Lizard_3_1m,6,0,0,0
2018,Post-2016,2,Lizard,14-116,Lizard_3_1m,7,3,16,19
2018,Post-2016,2,Lizard,14-116,Lizard_3_1m,8,2,5,7
2018,Post-2016,2,Lizard,14-116,Lizard_3_1m,9,0,2,2
2018,Post-2016,2,Lizard,14-116,Lizard_3_1m,10,2,15,17
2018,Post-2016,2,Lizard,14-116,Lizard_4_1m,1,1,0,1
2018,Post-2016,2,Lizard,14-116,Lizard_4_1m,2,0,14,14
2018,Post-2016,2,Lizard,14-116,Lizard_4_1m,3,4,3,7
2018,Post-2016,2,Lizard,14-116,Lizard_4_1m,4,1,2,3
2018,Post-2016,2,Lizard,14-116,Lizard_4_1m,5,0,0,0
2018,Post-2016,2,Lizard,14-116,Lizard_4_1m,6,0,0,0
2018,Post-2016,2,Lizard,14-116,Lizard_4_1m,7,0,0,0
2018,Post-2016,2,Lizard,14-116,Lizard_4_1m,8,1,12,13
2018,Post-2016,2,Lizard,14-116,Lizard_4_1m,9,1,2,3
2018,Post-2016,2,Lizard,14-116,Lizard_4_1m,10,0,0,0
2018,Post-2016,2,Eyrie,14-118,Eyrie_1_1m,1,0,0,0
2018,Post-2016,2,Eyrie,14-118,Eyrie_1_1m,2,1,0,1
2018,Post-2016,2,Eyrie,14-118,Eyrie_1_1m,3,0,0,0
2018,Post-2016,2,Eyrie,14-118,Eyrie_1_1m,4,0,0,0
2018,Post-2016,2,Eyrie,14-118,Eyrie_1_1m,5,0,0,0
2018,Post-2016,2,Eyrie,14-118,Eyrie_1_1m,6,0,0,0
2018,Post-2016,2,Eyrie,14-118,Eyrie_1_1m,7,1,0,1
2018,Post-2016,2,Eyrie,14-118,Eyrie_1_1m,9,0,0,0
2018,Post-2016,2,Eyrie,14-118,Eyrie_2_1m,1,2,0,2
2018,Post-2016,2,Eyrie,14-118,Eyrie_2_1m,4,3,0,3
2018,Post-2016,2,Eyrie,14-118,Eyrie_2_1m,5,1,0,1
2018,Post-2016,2,Eyrie,14-118,Eyrie_2_1m,6,1,0,1
2018,Post-2016,2,Eyrie,14-118,Eyrie_2_1m,7,2,0,2
2018,Post-2016,2,Eyrie,14-118,Eyrie_3_1m,1,0,0,0
2018,Post-2016,2,Eyrie,14-118,Eyrie_3_1m,2,0,15,15
2018,Post-2016,2,Eyrie,14-118,Eyrie_3_1m,3,0,0,0
2018,Post-2016,2,Eyrie,14-118,Eyrie_3_1m,4,1,0,1
2018,Post-2016,2,Eyrie,14-118,Eyrie_3_1m,6,2,0,2
2018,Post-2016,2,Eyrie,14-118,Eyrie_3_1m,8,0,0,0
2018,Post-2016,2,Eyrie,14-118,Eyrie_4_1m,1,0,2,2
2018,Post-2016,2,Eyrie,14-118,Eyrie_4_1m,2,4,0,4
2018,Post-2016,2,Eyrie,14-118,Eyrie_4_1m,3,1,0,1
2018,Post-2016,2,Eyrie,14-118,Eyrie_4_1m,4,0,0,0
2018,Post-2016,2,Eyrie,14-118,Eyrie_4_1m,5,0,0,0
2018,Post-2016,2,Eyrie,14-118,Eyrie_4_1m,6,2,0,2
2018,Post-2016,2,Eyrie,14-118,Eyrie_4_1m,7,3,0,3
2018,Post-2016,2,Eyrie,14-118,Eyrie_4_1m,8,0,1,1
2018,Post-2016,2,Eyrie,14-118,Eyrie_4_1m,9,0,0,0
2018,Post-2016,2,Eyrie,14-118,Eyrie_4_1m,10,2,0,2
2018,Post-2016,3,Trunk,18-027,Trunk_1_1m,1,9,0,9
2018,Post-2016,3,Trunk,18-027,Trunk_1_1m,2,8,2,10
2018,Post-2016,3,Trunk,18-027,Trunk_1_1m,3,2,0,2
2018,Post-2016,3,Trunk,18-027,Trunk_1_1m,4,9,0,9
2018,Post-2016,3,Trunk,18-027,Trunk_1_1m,5,14,10,24
2018,Post-2016,3,Trunk,18-027,Trunk_1_1m,6,3,0,3
2018,Post-2016,3,Trunk,18-027,Trunk_1_1m,7,4,0,4
2018,Post-2016,3,Trunk,18-027,Trunk_1_1m,8,4,0,4
2018,Post-2016,3,Trunk,18-027,Trunk_1_1m,9,17,0,17
2018,Post-2016,3,Trunk,18-027,Trunk_1_1m,10,4,9,13
2018,Post-2016,3,Trunk,18-027,Trunk_2_1m,1,1,0,1
2018,Post-2016,3,Trunk,18-027,Trunk_2_1m,3,7,14,21
2018,Post-2016,3,Trunk,18-027,Trunk_2_1m,4,4,20,24
2018,Post-2016,3,Trunk,18-027,Trunk_2_1m,5,6,4,10
2018,Post-2016,3,Trunk,18-027,Trunk_2_1m,6,16,4,20
2018,Post-2016,3,Trunk,18-027,Trunk_2_1m,8,7,15,22
2018,Post-2016,3,Trunk,18-027,Trunk_2_1m,9,11,23,34
2018,Post-2016,3,Trunk,18-027,Trunk_3_1m,1,6,0,6
2018,Post-2016,3,Trunk,18-027,Trunk_3_1m,2,6,0,6
2018,Post-2016,3,Trunk,18-027,Trunk_3_1m,3,6,0,6
2018,Post-2016,3,Trunk,18-027,Trunk_3_1m,4,5,0,5
2018,Post-2016,3,Trunk,18-027,Trunk_3_1m,5,3,14,17
2018,Post-2016,3,Trunk,18-027,Trunk_3_1m,6,1,11,12
2018,Post-2016,3,Trunk,18-027,Trunk_3_1m,7,11,5,16
2018,Post-2016,3,Trunk,18-027,Trunk_3_1m,8,6,0,6
2018,Post-2016,3,Trunk,18-027,Trunk_3_1m,9,3,2,5
2018,Post-2016,3,Trunk,18-027,Trunk_3_1m,10,3,0,3
2018,Post-2016,3,Trunk,18-027,Trunk_4_1m,1,10,0,10
2018,Post-2016,3,Trunk,18-027,Trunk_4_1m,2,3,17,20
2018,Post-2016,3,Trunk,18-027,Trunk_4_1m,3,11,0,11
2018,Post-2016,3,Trunk,18-027,Trunk_4_1m,4,3,0,3
2018,Post-2016,3,Trunk,18-027,Trunk_4_1m,5,7,0,7
2018,Post-2016,3,Trunk,18-027,Trunk_4_1m,6,6,16,22
2018,Post-2016,3,Trunk,18-027,Trunk_4_1m,7,3,0,3
2018,Post-2016,3,Trunk,18-027,Trunk_4_1m,8,6,0,6
2018,Post-2016,3,Trunk,18-027,Trunk_4_1m,9,1,0,1
2018,Post-2016,3,Trunk,18-027,Trunk_4_1m,10,4,0,4
2018,Post-2016,3,Bramble,18-029,Bramble_1_1m,1,6,0,6
2018,Post-2016,3,Bramble,18-029,Bramble_1_1m,2,5,0,5
2018,Post-2016,3,Bramble,18-029,Bramble_1_1m,3,1,31,32
2018,Post-2016,3,Bramble,18-029,Bramble_1_1m,4,7,0,7
2018,Post-2016,3,Bramble,18-029,Bramble_1_1m,5,4,0,4
2018,Post-2016,3,Bramble,18-029,Bramble_1_1m,6,3,0,3
2018,Post-2016,3,Bramble,18-029,Bramble_1_1m,7,7,2,9
2018,Post-2016,3,Bramble,18-029,Bramble_1_1m,8,3,0,3
2018,Post-2016,3,Bramble,18-029,Bramble_1_1m,9,9,0,9
2018,Post-2016,3,Bramble,18-029,Bramble_1_1m,10,8,4,12
2018,Post-2016,3,Bramble,18-029,Bramble_2_1m,1,5,14,19
2018,Post-2016,3,Bramble,18-029,Bramble_2_1m,2,7,0,7
2018,Post-2016,3,Bramble,18-029,Bramble_2_1m,3,3,21,24
2018,Post-2016,3,Bramble,18-029,Bramble_2_1m,4,8,0,8
2018,Post-2016,3,Bramble,18-029,Bramble_2_1m,5,5,0,5
2018,Post-2016,3,Bramble,18-029,Bramble_3_1m,1,2,14,16
2018,Post-2016,3,Bramble,18-029,Bramble_3_1m,2,7,27,34
2018,Post-2016,3,Bramble,18-029,Bramble_3_1m,3,13,3,16
2018,Post-2016,3,Bramble,18-029,Bramble_3_1m,4,7,0,7
2018,Post-2016,3,Bramble,18-029,Bramble_3_1m,5,6,0,6
2018,Post-2016,3,Bramble,18-029,Bramble_3_1m,6,8,0,8
2018,Post-2016,3,Bramble,18-029,Bramble_3_1m,7,9,0,9
2018,Post-2016,3,Bramble,18-029,Bramble_3_1m,8,8,0,8
2018,Post-2016,3,Bramble,18-029,Bramble_3_1m,9,4,0,4
2018,Post-2016,3,Bramble,18-029,Bramble_3_1m,10,4,0,4
2018,Post-2016,3,Bramble,18-029,Bramble_4_1m,1,32,16,48
2018,Post-2016,3,Bramble,18-029,Bramble_4_1m,2,22,24,46
2018,Post-2016,3,Bramble,18-029,Bramble_4_1m,3,20,0,20
2018,Post-2016,3,Bramble,18-029,Bramble_4_1m,4,6,0,6
2018,Post-2016,3,Bramble,18-029,Bramble_4_1m,5,19,0,19
2018,Post-2016,3,Bramble,18-029,Bramble_4_1m,6,11,0,11
2018,Post-2016,3,Bramble,18-029,Bramble_4_1m,7,6,0,6
2018,Post-2016,3,Bramble,18-029,Bramble_4_1m,8,9,0,9
2018,Post-2016,3,Bramble,18-029,Bramble_4_1m,9,16,0,16
2018,Post-2016,3,Bramble,18-029,Bramble_4_1m,10,14,0,14
2018,Post-2016,3,Rib,18-032,Rib_1_1m,1,2,15,17
2018,Post-2016,3,Rib,18-032,Rib_1_1m,2,0,34,34
2018,Post-2016,3,Rib,18-032,Rib_1_1m,3,3,2,5
2018,Post-2016,3,Rib,18-032,Rib_1_1m,4,1,0,1
2018,Post-2016,3,Rib,18-032,Rib_1_1m,5,6,21,27
2018,Post-2016,3,Rib,18-032,Rib_1_1m,6,7,13,20
2018,Post-2016,3,Rib,18-032,Rib_1_1m,7,4,0,4
2018,Post-2016,3,Rib,18-032,Rib_1_1m,8,4,12,16
2018,Post-2016,3,Rib,18-032,Rib_1_1m,10,10,4,14
2018,Post-2016,3,Rib,18-032,Rib_2_1m,1,1,3,4
2018,Post-2016,3,Rib,18-032,Rib_2_1m,2,5,19,24
2018,Post-2016,3,Rib,18-032,Rib_2_1m,3,6,18,24
2018,Post-2016,3,Rib,18-032,Rib_2_1m,4,0,0,0
2018,Post-2016,3,Rib,18-032,Rib_2_1m,5,9,1,10
2018,Post-2016,3,Rib,18-032,Rib_2_1m,6,4,11,15
2018,Post-2016,3,Rib,18-032,Rib_2_1m,7,1,0,1
2018,Post-2016,3,Rib,18-032,Rib_2_1m,8,1,16,17
2018,Post-2016,3,Rib,18-032,Rib_2_1m,9,1,15,16
2018,Post-2016,3,Rib,18-032,Rib_3_1m,1,3,0,3
2018,Post-2016,3,Rib,18-032,Rib_3_1m,2,3,13,16
2018,Post-2016,3,Rib,18-032,Rib_3_1m,3,2,0,2
2018,Post-2016,3,Rib,18-032,Rib_3_1m,4,2,0,2
2018,Post-2016,3,Rib,18-032,Rib_3_1m,5,19,12,31
2018,Post-2016,3,Rib,18-032,Rib_3_1m,6,4,0,4
2018,Post-2016,3,Rib,18-032,Rib_3_1m,7,13,17,30
2018,Post-2016,3,Rib,18-032,Rib_3_1m,8,0,15,15
2018,Post-2016,3,Rib,18-032,Rib_3_1m,9,4,0,4
2018,Post-2016,3,Rib,18-032,Rib_3_1m,10,17,0,17
2018,Post-2016,3,Rib,18-032,Rib_4_1m,1,4,0,4
2018,Post-2016,3,Rib,18-032,Rib_4_1m,2,0,0,0
2018,Post-2016,3,Rib,18-032,Rib_4_1m,3,2,0,2
2018,Post-2016,3,Rib,18-032,Rib_4_1m,4,0,10,10
2018,Post-2016,3,Rib,18-032,Rib_4_1m,5,19,0,19
2018,Post-2016,3,Rib,18-032,Rib_4_1m,7,11,2,13
2018,Post-2016,3,Rib,18-032,Rib_4_1m,8,8,0,8
2018,Post-2016,3,Rib,18-032,Rib_4_1m,9,2,0,2
2018,Post-2016,4,Cobham,19-074b,19-074b_1_1m,1,0,0,0
2018,Post-2016,4,Cobham,19-074b,19-074b_1_1m,2,1,0,1
2018,Post-2016,4,Cobham,19-074b,19-074b_1_1m,3,1,0,1
2018,Post-2016,4,Cobham,19-074b,19-074b_1_1m,4,0,0,0
2018,Post-2016,4,Cobham,19-074b,19-074b_1_1m,5,1,0,1
2018,Post-2016,4,Cobham,19-074b,19-074b_1_1m,6,4,0,4
2018,Post-2016,4,Cobham,19-074b,19-074b_1_1m,7,0,0,0
2018,Post-2016,4,Cobham,19-074b,19-074b_1_1m,8,4,0,4
2018,Post-2016,4,Cobham,19-074b,19-074b_1_1m,9,2,0,2
2018,Post-2016,4,Cobham,19-074b,19-074b_2_1m,1,0,25,25
2018,Post-2016,4,Cobham,19-074b,19-074b_2_1m,2,5,0,5
2018,Post-2016,4,Cobham,19-074b,19-074b_2_1m,3,3,1,4
2018,Post-2016,4,Cobham,19-074b,19-074b_2_1m,4,0,0,0
2018,Post-2016,4,Cobham,19-074b,19-074b_2_1m,5,4,0,4
2018,Post-2016,4,Cobham,19-074b,19-074b_2_1m,6,0,0,0
2018,Post-2016,4,Cobham,19-074b,19-074b_2_1m,7,0,0,0
2018,Post-2016,4,Cobham,19-074b,19-074b_2_1m,8,3,0,3
2018,Post-2016,4,Cobham,19-074b,19-074b_2_1m,9,3,0,3
2018,Post-2016,4,Cobham,19-074b,19-074b_2_1m,10,3,0,3
2018,Post-2016,4,Cobham,19-074b,19-074b_3_1m,2,1,0,1
2018,Post-2016,4,Cobham,19-074b,19-074b_3_1m,3,0,0,0
2018,Post-2016,4,Cobham,19-074b,19-074b_3_1m,4,0,0,0
2018,Post-2016,4,Cobham,19-074b,19-074b_3_1m,7,0,0,0
2018,Post-2016,4,Cobham,19-074b,19-074b_3_1m,8,0,0,0
2018,Post-2016,4,Cobham,19-074b,19-074b_3_1m,9,1,0,1
2018,Post-2016,4,Cobham,19-074b,19-074b_3_1m,10,1,10,11
2018,Post-2016,4,Cobham,19-074b,19-074b_4_1m,1,1,0,1
2018,Post-2016,4,Cobham,19-074b,19-074b_4_1m,2,2,12,14
2018,Post-2016,4,Cobham,19-074b,19-074b_4_1m,3,0,0,0
2018,Post-2016,4,Cobham,19-074b,19-074b_4_1m,4,0,0,0
2018,Post-2016,4,Cobham,19-074b,19-074b_4_1m,5,2,0,2
2018,Post-2016,4,Cobham,19-074b,19-074b_4_1m,6,4,0,4
2018,Post-2016,4,Cobham,19-074b,19-074b_4_1m,7,2,0,2
2018,Post-2016,4,Cobham,19-074b,19-074b_4_1m,8,0,0,0
2018,Post-2016,4,Cobham,19-074b,19-074b_4_1m,9,4,11,15
2018,Post-2016,4,Martin,19-075,19-075_1_1m,1,3,10,13
2018,Post-2016,4,Martin,19-075,19-075_1_1m,2,12,11,23
2018,Post-2016,4,Martin,19-075,19-075_1_1m,3,12,3,15
2018,Post-2016,4,Martin,19-075,19-075_1_1m,4,4,0,4
2018,Post-2016,4,Martin,19-075,19-075_1_1m,5,9,0,9
2018,Post-2016,4,Martin,19-075,19-075_1_1m,6,7,0,7
2018,Post-2016,4,Martin,19-075,19-075_1_1m,7,21,9,30
2018,Post-2016,4,Martin,19-075,19-075_1_1m,8,29,7,36
2018,Post-2016,4,Martin,19-075,19-075_1_1m,9,1,2,3
2018,Post-2016,4,Martin,19-075,19-075_2_1m,1,14,0,14
2018,Post-2016,4,Martin,19-075,19-075_2_1m,2,5,0,5
2018,Post-2016,4,Martin,19-075,19-075_2_1m,3,1,12,13
2018,Post-2016,4,Martin,19-075,19-075_2_1m,4,9,0,9
2018,Post-2016,4,Martin,19-075,19-075_2_1m,5,16,0,16
2018,Post-2016,4,Martin,19-075,19-075_2_1m,6,8,0,8
2018,Post-2016,4,Martin,19-075,19-075_2_1m,7,8,15,23
2018,Post-2016,4,Martin,19-075,19-075_2_1m,8,21,16,37
2018,Post-2016,4,Martin,19-075,19-075_2_1m,9,0,0,0
2018,Post-2016,4,Martin,19-075,19-075_3_1m,1,7,0,7
2018,Post-2016,4,Martin,19-075,19-075_3_1m,2,5,0,5
2018,Post-2016,4,Martin,19-075,19-075_3_1m,3,11,0,11
2018,Post-2016,4,Martin,19-075,19-075_3_1m,4,2,0,2
2018,Post-2016,4,Martin,19-075,19-075_3_1m,5,1,0,1
2018,Post-2016,4,Martin,19-075,19-075_3_1m,6,13,0,13
2018,Post-2016,4,Martin,19-075,19-075_3_1m,7,2,0,2
2018,Post-2016,4,Martin,19-075,19-075_3_1m,8,2,9,11
2018,Post-2016,4,Martin,19-075,19-075_3_1m,9,4,0,4
2018,Post-2016,4,Martin,19-075,19-075_3_1m,10,3,0,3
2018,Post-2016,4,Martin,19-075,19-075_4_1m,1,2,0,2
2018,Post-2016,4,Martin,19-075,19-075_4_1m,2,3,0,3
2018,Post-2016,4,Martin,19-075,19-075_4_1m,3,3,0,3
2018,Post-2016,4,Martin,19-075,19-075_4_1m,4,5,0,5
2018,Post-2016,4,Martin,19-075,19-075_4_1m,5,2,1,3
2018,Post-2016,4,Martin,19-075,19-075_4_1m,6,5,0,5
2018,Post-2016,4,Martin,19-075,19-075_4_1m,7,7,15,22
2018,Post-2016,4,Martin,19-075,19-075_4_1m,8,1,0,1
2018,Post-2016,4,Martin,19-075,19-075_4_1m,9,2,0,2
2018,Post-2016,4,Martin,19-075,19-075_4_1m,10,1,0,1
2018,Post-2016,4,Showers,19-076,19-076_1_1m,1,0,10,10
2018,Post-2016,4,Showers,19-076,19-076_1_1m,3,1,0,1
2018,Post-2016,4,Showers,19-076,19-076_1_1m,4,8,0,8
2018,Post-2016,4,Showers,19-076,19-076_1_1m,5,0,0,0
2018,Post-2016,4,Showers,19-076,19-076_1_1m,6,5,0,5
2018,Post-2016,4,Showers,19-076,19-076_1_1m,7,0,0,0
2018,Post-2016,4,Showers,19-076,19-076_1_1m,8,2,0,2
2018,Post-2016,4,Showers,19-076,19-076_1_1m,9,7,13,20
2018,Post-2016,4,Showers,19-076,19-076_1_1m,10,7,0,7
2018,Post-2016,4,Showers,19-076,19-076_2_1m,1,3,0,3
2018,Post-2016,4,Showers,19-076,19-076_2_1m,2,3,0,3
2018,Post-2016,4,Showers,19-076,19-076_2_1m,3,1,0,1
2018,Post-2016,4,Showers,19-076,19-076_2_1m,4,1,0,1
2018,Post-2016,4,Showers,19-076,19-076_2_1m,5,2,9,11
2018,Post-2016,4,Showers,19-076,19-076_2_1m,6,2,0,2
2018,Post-2016,4,Showers,19-076,19-076_2_1m,7,0,0,0
2018,Post-2016,4,Showers,19-076,19-076_2_1m,8,0,0,0
2018,Post-2016,4,Showers,19-076,19-076_2_1m,9,3,0,3
2018,Post-2016,4,Showers,19-076,19-076_3_1m,1,0,10,10
2018,Post-2016,4,Showers,19-076,19-076_3_1m,2,3,0,3
2018,Post-2016,4,Showers,19-076,19-076_3_1m,3,2,0,2
2018,Post-2016,4,Showers,19-076,19-076_3_1m,4,3,0,3
2018,Post-2016,4,Showers,19-076,19-076_3_1m,5,0,0,0
2018,Post-2016,4,Showers,19-076,19-076_3_1m,7,2,0,2
2018,Post-2016,4,Showers,19-076,19-076_3_1m,8,2,0,2
2018,Post-2016,4,Showers,19-076,19-076_3_1m,9,0,0,0
2018,Post-2016,4,Showers,19-076,19-076_3_1m,10,1,0,1
2018,Post-2016,4,Showers,19-076,19-076_4_1m,1,1,1,2
2018,Post-2016,4,Showers,19-076,19-076_4_1m,2,3,0,3
2018,Post-2016,4,Showers,19-076,19-076_4_1m,3,0,16,16
2018,Post-2016,4,Showers,19-076,19-076_4_1m,4,8,3,11
2018,Post-2016,4,Showers,19-076,19-076_4_1m,5,6,11,17
2018,Post-2016,4,Showers,19-076,19-076_4_1m,6,6,0,6
2018,Post-2016,4,Showers,19-076,19-076_4_1m,7,1,0,1
2018,Post-2016,4,Showers,19-076,19-076_4_1m,8,0,0,0
2018,Post-2016,4,Showers,19-076,19-076_4_1m,9,0,0,0
2018,Post-2016,4,Showers,19-076,19-076_4_1m,10,5,16,21
2018,Post-2016,5,Heron,23-052a,Heron_1_1m,1,6,7,13
2018,Post-2016,5,Heron,23-052a,Heron_1_1m,2,2,27,29
2018,Post-2016,5,Heron,23-052a,Heron_1_1m,3,1,0,1
2018,Post-2016,5,Heron,23-052a,Heron_1_1m,4,8,28,36
2018,Post-2016,5,Heron,23-052a,Heron_1_1m,5,5,16,21
2018,Post-2016,5,Heron,23-052a,Heron_1_1m,7,0,4,4
2018,Post-2016,5,Heron,23-052a,Heron_1_1m,8,7,27,34
2018,Post-2016,5,Heron,23-052a,Heron_1_1m,9,5,10,15
2018,Post-2016,5,Heron,23-052a,Heron_1_1m,10,3,11,14
2018,Post-2016,5,Heron,23-052a,Heron_1_1m,11,5,9,14
2018,Post-2016,5,Heron,23-052a,Heron_2_1m,1,11,21,32
2018,Post-2016,5,Heron,23-052a,Heron_2_1m,2,7,9,16
2018,Post-2016,5,Heron,23-052a,Heron_2_1m,3,7,14,21
2018,Post-2016,5,Heron,23-052a,Heron_2_1m,4,8,7,15
2018,Post-2016,5,Heron,23-052a,Heron_2_1m,5,8,4,12
2018,Post-2016,5,Heron,23-052a,Heron_2_1m,6,2,2,4
2018,Post-2016,5,Heron,23-052a,Heron_2_1m,7,6,7,13
2018,Post-2016,5,Heron,23-052a,Heron_2_1m,8,2,4,6
2018,Post-2016,5,Heron,23-052a,Heron_2_1m,9,2,7,9
2018,Post-2016,5,Heron,23-052a,Heron_2_1m,10,4,12,16
2018,Post-2016,5,Heron,23-052a,Heron_2_1m,11,2,3,5
2018,Post-2016,5,Heron,23-052a,Heron_3_1m,1,1,18,19
2018,Post-2016,5,Heron,23-052a,Heron_3_1m,2,0,20,20
2018,Post-2016,5,Heron,23-052a,Heron_3_1m,3,2,0,2
2018,Post-2016,5,Heron,23-052a,Heron_3_1m,4,4,0,4
2018,Post-2016,5,Heron,23-052a,Heron_3_1m,5,4,1,5
2018,Post-2016,5,Heron,23-052a,Heron_3_1m,6,2,0,2
2018,Post-2016,5,Heron,23-052a,Heron_3_1m,7,3,2,5
2018,Post-2016,5,Heron,23-052a,Heron_3_1m,8,7,0,7
2018,Post-2016,5,Heron,23-052a,Heron_3_1m,9,3,10,13
2018,Post-2016,5,Heron,23-052a,Heron_3_1m,10,2,2,4
2018,Post-2016,5,Heron,23-052a,Heron_4_1m,1,9,26,35
2018,Post-2016,5,Heron,23-052a,Heron_4_1m,2,3,15,18
2018,Post-2016,5,Heron,23-052a,Heron_4_1m,3,8,23,31
2018,Post-2016,5,Heron,23-052a,Heron_4_1m,4,0,3,3
2018,Post-2016,5,Heron,23-052a,Heron_4_1m,5,5,6,11
2018,Post-2016,5,Heron,23-052a,Heron_4_1m,6,8,24,32
2018,Post-2016,5,Heron,23-052a,Heron_4_1m,7,11,8,19
2018,Post-2016,5,Heron,23-052a,Heron_4_1m,8,9,11,20
2018,Post-2016,5,Heron,23-052a,Heron_4_1m,9,5,8,13
2018,Post-2016,5,Heron,23-052a,Heron_4_1m,10,5,1,6
2018,Post-2016,5,Wistari,23-053,Wistari_1_1m,1,2,1,3
2018,Post-2016,5,Wistari,23-053,Wistari_1_1m,3,2,1,3
2018,Post-2016,5,Wistari,23-053,Wistari_1_1m,4,1,13,14
2018,Post-2016,5,Wistari,23-053,Wistari_1_1m,5,2,1,3
2018,Post-2016,5,Wistari,23-053,Wistari_1_1m,6,3,0,3
2018,Post-2016,5,Wistari,23-053,Wistari_1_1m,7,1,17,18
2018,Post-2016,5,Wistari,23-053,Wistari_1_1m,8,3,1,4
2018,Post-2016,5,Wistari,23-053,Wistari_1_1m,9,1,17,18
2018,Post-2016,5,Wistari,23-053,Wistari_1_1m,10,2,18,20
2018,Post-2016,5,Wistari,23-053,Wistari_2_1m,1,5,0,5
2018,Post-2016,5,Wistari,23-053,Wistari_2_1m,2,7,0,7
2018,Post-2016,5,Wistari,23-053,Wistari_2_1m,4,4,2,6
2018,Post-2016,5,Wistari,23-053,Wistari_2_1m,5,7,0,7
2018,Post-2016,5,Wistari,23-053,Wistari_2_1m,6,6,20,26
2018,Post-2016,5,Wistari,23-053,Wistari_2_1m,7,14,12,26
2018,Post-2016,5,Wistari,23-053,Wistari_2_1m,8,6,0,6
2018,Post-2016,5,Wistari,23-053,Wistari_2_1m,9,4,2,6
2018,Post-2016,5,Wistari,23-053,Wistari_2_1m,10,9,16,25
2018,Post-2016,5,Wistari,23-053,Wistari_3_1m,1,6,17,23
2018,Post-2016,5,Wistari,23-053,Wistari_3_1m,2,2,2,4
2018,Post-2016,5,Wistari,23-053,Wistari_3_1m,3,8,19,27
2018,Post-2016,5,Wistari,23-053,Wistari_3_1m,4,4,1,5
2018,Post-2016,5,Wistari,23-053,Wistari_3_1m,5,3,39,42
2018,Post-2016,5,Wistari,23-053,Wistari_3_1m,6,5,13,18
2018,Post-2016,5,Wistari,23-053,Wistari_3_1m,7,1,3,4
2018,Post-2016,5,Wistari,23-053,Wistari_3_1m,8,1,14,15
2018,Post-2016,5,Wistari,23-053,Wistari_3_1m,9,7,17,24
2018,Post-2016,5,Wistari,23-053,Wistari_4_1m,1,2,3,5
2018,Post-2016,5,Wistari,23-053,Wistari_4_1m,2,1,0,1
2018,Post-2016,5,Wistari,23-053,Wistari_4_1m,3,6,30,36
2018,Post-2016,5,Wistari,23-053,Wistari_4_1m,4,1,3,4
2018,Post-2016,5,Wistari,23-053,Wistari_4_1m,5,2,9,11
2018,Post-2016,5,Wistari,23-053,Wistari_4_1m,6,2,0,2
2018,Post-2016,5,Wistari,23-053,Wistari_4_1m,7,4,4,8
2018,Post-2016,5,Wistari,23-053,Wistari_4_1m,8,14,1,15
2018,Post-2016,5,Wistari,23-053,Wistari_4_1m,9,5,0,5
2018,Post-2016,5,Wistari,23-053,Wistari_4_1m,10,11,26,37
2018,Post-2016,5,Sykes,23-054,Sykes_1_1m,1,8,2,10
2018,Post-2016,5,Sykes,23-054,Sykes_1_1m,2,8,0,8
2018,Post-2016,5,Sykes,23-054,Sykes_1_1m,3,1,1,2
2018,Post-2016,5,Sykes,23-054,Sykes_1_1m,4,13,4,17
2018,Post-2016,5,Sykes,23-054,Sykes_1_1m,5,3,0,3
2018,Post-2016,5,Sykes,23-054,Sykes_1_1m,6,5,0,5
2018,Post-2016,5,Sykes,23-054,Sykes_1_1m,7,5,16,21
2018,Post-2016,5,Sykes,23-054,Sykes_1_1m,8,3,0,3
2018,Post-2016,5,Sykes,23-054,Sykes_1_1m,9,9,10,19
2018,Post-2016,5,Sykes,23-054,Sykes_1_1m,10,1,0,1
2018,Post-2016,5,Sykes,23-054,Sykes_1_1m,11,16,16,32
2018,Post-2016,5,Sykes,23-054,Sykes_2_1m,1,10,20,30
2018,Post-2016,5,Sykes,23-054,Sykes_2_1m,2,3,0,3
